scene,frame_index,timestamp,token,cmd,sig_mode_var,sig_mode_std,sig_entropy,sig_margin,loss_l2,within_scene_pct,fail_top05,fail_top10,fail_top15,fail_top20,fail_within_scene
01452fbfbf4543af8acdfd3e8a1ee806,0,1533151514547047,d5324133e1d241658a7b763831b3af2e,2,2.2850849628448486,1.5116497487331013,1.7752487659454346,0.9290237873792648,0.008295664750805927,0.02564102564102564,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,1,1533151515047378,0f5cbb909e9544dd861dc2ff63ac4d13,2,3.1289336681365967,1.7688792124214126,1.7822495698928833,0.9773701429367065,0.0060628963591386744,0.0,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,2,1533151515547814,da74550a10a8408299d7e6b1735963ae,2,2.724315643310547,1.6505501032415062,1.778220295906067,0.9539005011320114,0.011574881540329303,0.05128205128205128,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,3,1533151516047153,cf86af90b622499b8214df0024a6ea29,2,2.7280662059783936,1.6516858678266861,1.772874116897583,0.9303472936153412,0.025768911217441345,0.07692307692307693,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,4,1533151516547575,901cfd30cb2a4fdba55095f9ec0fed34,2,2.8055732250213623,1.6749845447111928,1.7716701030731201,0.9259463101625443,0.09329340881150727,0.1282051282051282,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,5,1533151517047469,5c9d217c4af14c608c7b5f9469dd488b,2,2.7668445110321045,1.6633834527949665,1.7726658582687378,0.9299274981021881,0.26099695601745415,0.20512820512820512,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,6,1533151517547339,ae3d3b5cb4424e7ab501a5d6f0a4980a,2,2.8630294799804688,1.692048899996826,1.7721701860427856,0.9281186908483505,0.5695709515610391,0.358974358974359,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,7,1533151518047227,a7795dcadad44c1c85fa27eef18366f6,2,3.251542091369629,1.8032032862019824,1.7757976055145264,0.9402306973934174,1.0721400890991644,0.5897435897435898,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,8,1533151518547070,cffb959327ac42ad866a5f8829e18187,2,3.506866455078125,1.8726629315170749,1.7881547212600708,0.9707429111003876,1.8220863617307173,0.8205128205128205,0,0,1,1,1
01452fbfbf4543af8acdfd3e8a1ee806,9,1533151519046948,7693424bd4b04229b08c578b256a7de4,2,4.008164882659912,2.002040180081287,1.7905808687210083,0.9917225241661072,2.5888619438747846,0.9487179487179487,0,1,1,1,1
