scene,frame_index,timestamp,token,cmd,sig_mode_var,sig_mode_std,sig_entropy,sig_margin,loss_l2,within_scene_pct,fail_top05,fail_top10,fail_top15,fail_top20,fail_within_scene
01452fbfbf4543af8acdfd3e8a1ee806,0,1533151514547047,d5324133e1d241658a7b763831b3af2e,2,6.100921630859375,2.4700043787125914,1.759495496749878,0.9036339670419693,0.001755705931208446,0.0,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,1,1533151515047378,0f5cbb909e9544dd861dc2ff63ac4d13,2,6.451204776763916,2.539922198958841,1.771317481994629,0.9045636504888535,0.15029635749398715,0.15384615384615385,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,2,1533151515547814,da74550a10a8408299d7e6b1735963ae,2,5.205790996551514,2.281620256868244,1.7693119049072266,0.8997608572244644,0.529441874219815,0.5128205128205128,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,3,1533151516047153,cf86af90b622499b8214df0024a6ea29,2,5.580722808837891,2.3623553519396463,1.7649362087249756,0.8899206817150116,0.06594133021099724,0.02564102564102564,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,4,1533151516547575,901cfd30cb2a4fdba55095f9ec0fed34,2,6.034738063812256,2.456570386496641,1.7643499374389648,0.8886592984199524,0.08831903237179872,0.05128205128205128,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,5,1533151517047469,5c9d217c4af14c608c7b5f9469dd488b,2,6.795215129852295,2.606763343660543,1.766667127609253,0.8937192261219025,0.2584869729292867,0.20512820512820512,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,6,1533151517547339,ae3d3b5cb4424e7ab501a5d6f0a4980a,2,7.188879489898682,2.681208587540082,1.770514726638794,0.9026162177324295,0.5289845107246913,0.48717948717948717,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,7,1533151518047227,a7795dcadad44c1c85fa27eef18366f6,2,7.081722736358643,2.661150641425367,1.7726197242736816,0.9077977687120438,0.9458463285667156,0.7435897435897436,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,8,1533151518547070,cffb959327ac42ad866a5f8829e18187,2,6.307572841644287,2.511488172706431,1.7759793996810913,0.9853853285312653,0.8448150174144796,0.717948717948718,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,9,1533151519046948,7693424bd4b04229b08c578b256a7de4,2,6.595392227172852,2.5681495725858436,1.777638554573059,0.9779355525970459,1.2252192138072406,0.8974358974358975,0,0,0,0,1
01452fbfbf4543af8acdfd3e8a1ee806,10,1533151519446755,48ea4572f95c47a083efa79997c4a506,2,6.804660797119141,2.6085744760537586,1.7726510763168335,0.9409537315368652,0.664875237157971,0.5897435897435898,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,11,1533151519946606,604a8ce58d0b4f94a93db370813edf94,2,8.887398719787598,2.9811740505692716,1.7744172811508179,0.9310677796602249,0.6713389198111597,0.6153846153846154,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,12,1533151520446480,160fa0f8e77b41409a98341093a7cace,2,9.390353202819824,3.0643683203589975,1.7762863636016846,0.9478578567504883,0.24563383627973812,0.1794871794871795,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,13,1533151520946912,09e58f5b8acb45a9a9c8c186895efa59,2,10.20694637298584,3.1948311963209948,1.7795450687408447,0.9782416671514511,0.6571048387595712,0.5641025641025641,0,0,0,0,0
01452fbfbf4543af8acdfd3e8a1ee806,14,1533151521447359,47fce09b77e44bb1810cedd61628ab1f,2,10.687187194824219,3.269126365686132,1.7798527479171753,0.9980865120887756,1.4583750028842086,0.9487179487179487,0,0,0,1,1
